able	unable
dejected; glum; amort; deflated, chopfallen, crestfallen, chapfallen; down in the mouth, grim, gloomy, down, blue, low-spirited, dispirited, downcast, depressed, downhearted, low; unhappy; lonely, lonesome; distressed, dysphoric, unhappy	elated; joyous; exhilarated, gladdened; in high spirits, high; prideful, exultant, exulting, triumphant, jubilant, triumphal, rejoicing; sublime; uplifted; happy; euphoric
delicate; overdelicate; pastel; light-handed; breakable; gossamer, ethereal; frail; weak; exquisite, dainty; tender; fragile	rugged; knockabout; sturdy, tough; robust; strong; toughened, tough
breakable; short; crumbly, friable; brickle, brittle, brickly; frail, fragile, delicate; splintery; frangible	unbreakable; infrangible; shatterproof, splinterproof, splinterless
demanding; difficult, hard; exacting, exigent; needy; stringent, rigorous, tight; exacting, strict, stern; hard-to-please, hard to please	undemanding; easygoing; lenient; unexacting; light; easy
imperative; shrill, strident; desperate; urgent, pressing; assertive, self-assertive, self-asserting; crying, insistent, exigent, instant, clamant; peremptory; adjuratory	beseeching, pleading, imploring; petitionary; adjuratory; precatory, precative; mendicant; supplicatory, suppliant, supplicant; importunate
democratic; classless, egalitarian; representative; parliamentary; parliamentary; participatory; popular; antiauthoritarian; elected, elective; republican	undemocratic; monarchic, monarchal, monarchical; authoritarian, autocratic, tyrannical, despotic, dictatorial, tyrannic; despotic; totalitarian
arbitrary; capricious, impulsive, whimsical; absolute; discretional, discretionary	nonarbitrary, unarbitrary; prescribed
demonstrative; gushy, effusive, gushing; unreserved; epideictical, epideictic	undemonstrative; reserved; reticent, restrained, unemotional
deniable; disavowable; confutative, questionable, confutable, refutable	undeniable; irrefutable, positive, incontrovertible; unquestionable; indisputable, incontestable, undisputable
denotative, denotive; naming, appellative; referent; designative; referential; extensional; explicit, expressed	connotative; implicative, suggestive; connotative of, connotational; inferential; intensional; implicit, inexplicit
dependable, reliable; certain, sure; trustworthy, trusty; tested, time-tested, tried, tried and true; undeviating	undependable, unreliable; temperamental, erratic; untrustworthy, untrusty; uncertain; unsound
dependable, reliable; certain, sure; trustworthy, trusty; tested, time-tested, tried, tried and true; undeviating	undependable, unreliable; temperamental, erratic; untrustworthy, untrusty; uncertain; unsound
dependent; parasitical, bloodsucking, parasitic, leechlike; symbiotic; underage; unfree; myrmecophilous; helpless; babelike; mutually beneficial, interdependent, mutualist; reliant	independent; self-directed, autonomous, self-reliant; nonparasitic, nonsymbiotic, free-living; individual, case-by-case, item-by-item; separate; unconditional; self-sustaining, self-sufficient, self-sufficing; autonomous; unaffiliated; single-handed; commutative; fissiparous, separatist, breakaway; autarkical, autarkic; strong-minded; indie; self-supporting; free
independent, main	dependent, subordinate
partisan, partizan; party-spirited; tendencious, tendentious	nonpartisan, nonpartizan; unbiassed, unbiased; independent; bipartisan, two-way, two-party, bipartizan
aligned; allied	nonaligned; neutral
descriptive	normative, prescriptive
descriptive	undescriptive
desirable; coveted, sought after, in demand, desired; preferable, preferred; plummy; wanted; sexually attractive, delectable; enviable; loveable, lovable	undesirable, unwanted; hateful; unwanted; unenviable
destroyed; exterminated, annihilated, wiped out; fallen; raped, despoiled, ravaged, pillaged, sacked; damaged; totaled; extinguished; tattered, shattered; wrecked; kaput, done for, gone; ruined, finished; demolished, dismantled, razed; scorched; war-torn, war-worn; burned-over, burned, burnt, burnt-out, burned-out; wiped out, broken, impoverished; obliterate, obliterated, blotted out; spoilt, blighted	preserved; protected, saved; well-kept, maintained, kept up; preservable; maintained, retained; conserved
destructible; abolishable; destroyable	indestructible; undestroyable
determinable; ascertainable, discoverable; judicable; definable; calculable	indeterminable, undeterminable; indeterminate; indeterminate, undetermined; incalculable; unascertainable, undiscoverable; unpredictable
determinate; fixed	indeterminate, undetermined; inconclusive; indeterminable, undeterminable; open-ended; uncertain; cost-plus
determinate; cymose	indeterminate; racemose
developed; formulated; mature, matured	undeveloped; rudimentary, vestigial; budding
dextral; dextrorsal, dextrorse; dexter; right-handed; clockwise	sinistral; sinister; left-handed; sinistrorse, sinistrorsal; contraclockwise, anticlockwise, counterclockwise
diabatic	adiabatic
differentiated	undifferentiated, uniform; dedifferentiated
difficult, hard; effortful; problematical, problematic, baffling, knotty, elusive, tough; thorny; trying; ticklish, touchy, delicate; tall; vexed; troublesome; herculean; unenviable, awkward, sticky, embarrassing; fractious; demanding; hard; rocky, rough; ambitious, challenging; serious; tight, nasty; catchy, tricky; hard-fought; arduous; rugged, tough	easy; effortless; painless; hands-down; soft; smooth; cushy, easygoing, soft; simplified; effortless, casual; simple; clean; undemanding; user-friendly; unproblematic, simple, elementary, uncomplicated
digitigrade	plantigrade
dignified; distinguished, magisterial, imposing, grand; composed; elegant; formal, stately, courtly	undignified; discomposed; infra dig; silly, ridiculous, pathetic; demeaning, humbling, mortifying, humiliating; inelegant
statesmanlike, statesmanly; diplomatic, diplomatical; presidential	unstatesmanlike; unpresidential
presidential; statesmanly, statesmanlike	unpresidential; unstatesmanlike
dicotyledonous	monocotyledonous
diligent; assiduous, sedulous; industrious, untiring, tireless, hardworking; careful; busy	negligent; hit-and-run; neglectful, derelict, remiss, delinquent; inattentive; lax, slack; neglectful, inattentive; careless
dilute, diluted; white; weakened, cut, thinned; washy, weak, watery	undiluted; full-strength, neat, straight; black; concentrated
saturated	unsaturated; polyunsaturated; monounsaturated
concentrated, saturated; supersaturated	unsaturated
diplomatic, diplomatical; kid-glove, tactful; bland, politic, smooth, suave; politic	undiplomatic
conciliative, conciliatory; pacific; placating, placatory, appeasing, placative; propitiative, propitiatory; soft	antagonistic; alienating
direct; straight; point-blank; nonstop; unswerving, undeviating; straightforward; door-to-door; through	indirect; devious, roundabout, circuitous; rambling, meandering, winding, wandering; diversionary; askance, squint, askant, asquint, squint-eyed, squinty, sidelong; crooked
direct	alternating
direct	inverse; reciprocal
direct	retrograde
direct; no-nonsense; bluff; square, straightforward, straight; unvarnished, plain; blunt, frank, candid, point-blank, outspoken, forthright, straight-from-the-shoulder, free-spoken, plainspoken; flat-footed; upfront; honest, honorable; man-to-man; pointed; brutal	indirect; devious, oblique; ambagious, periphrastic, circumlocutious, circumlocutory; tortuous; mealymouthed, mealy-mouthed; roundabout, circuitous; discursive, rambling, excursive, digressive; backhanded; hearsay; allusive
immediate; unmediated, direct	mediate; indirect; mediated
discerning; critical; discriminating; clear-sighted, perspicacious, clear-eyed; prescient; clear, percipient	undiscerning; indiscriminate; obtuse, purblind; uncomprehending
discreet	indiscreet; bigmouthed, blabbermouthed, talkative, blabby; imprudent
discriminate; discriminating	indiscriminate; indiscriminating, undiscriminating; promiscuous; wholesale, sweeping; general
discriminating; eclectic; appreciative; good; discerning; selective; discerning; diacritical, diacritic; discriminatory, discriminative; discriminate	indiscriminating, undiscriminating; indiscriminate; unperceptive; unselective; indiscriminate; scattershot
disposable; throwaway	nondisposable
returnable; revertible	nonreturnable
disposable; available, usable, useable; expendable, spendable; liquid, fluid	nondisposable; frozen
distal	proximal
distal; lateral	mesial; median, medial; sagittal
distinct; clear-cut, clear, clean-cut; chiseled, well-defined; definite; sharp, crisp; razor-sharp; defined, outlined; clear; precise; knifelike; crystalline	indistinct; veiled; bleary, blurry, blurred, muzzy, hazy, foggy, fuzzy; nebulous, cloudy, nebulose; faint; vague, wispy, dim, faint, shadowy; bedimmed; indefinite; unclear
focused, focussed	unfocused, unfocussed
diversified; varied, wide-ranging; heterogenous, heterogeneous	undiversified; monolithic; unanimous, whole, solid; homogeneous, homogenous; undistributed; general
divisible; separable, dissociable, severable; dissociative; partible; cleavable; dividable	indivisible; inseparable; indiscrete; undividable, indivisible by
documented; registered; referenced	undocumented; unregistered
domineering; immodest; blustery, bullying; autocratic, bossy, magisterial, peremptory, dominating, high-and-mighty; authoritarian, overbearing, dictatorial; tyrannous, tyrannical, oppressive; roughshod, heavy-handed; cavalier, high-handed	submissive; grovelling, wormy, groveling, cringing, wormlike; humble; bowed, bowing; unassertive; spiritless, meek; abject; obedient; subordinate; henpecked, dominated
servile; obsequious; slavish, subservient, submissive; slavelike; bootlicking, sycophantic, toadyish, fawning	unservile, unsubmissive
dominant; superior; overriding, preponderant, predominate, paramount, predominant, preponderating; ascendant, ascendent, dominating; controlling; sovereign, supreme; superior; governing; possessive	low-level, subordinate; adjunct, assistant; inferior; secondary; associate; subordinate; under
dominant	recessive
single-barreled, single-barrelled	double-barreled, double-barrelled
double-breasted	single-breasted
dramatic; melodramatic; hammy; spectacular	undramatic; unspectacular
actable	unactable
theatrical; melodramatic, histrionic; showy; stagy, stagey	untheatrical
drinkable, potable	undrinkable
drunk, inebriated, intoxicated; half-seas-over; narcotised, drugged, doped, narcotized; bibulous, boozy, sottish, drunken; besotted, pixilated, squiffy, stiff, sloshed, sozzled, slopped, pie-eyed, fuddled, tight, blind drunk, blotto, crocked, soaked, pissed, cockeyed, loaded, wet, plastered, smashed, soused; mellow, high; beery; bacchic, orgiastic, bacchanal, bacchanalian, carousing; hopped-up, stoned; tipsy, potty, tiddly	sober; dry, teetotal; uninebriated, unintoxicated; drug-free; stone-sober, cold sober
dull; blunt; blunted, dulled; edgeless; unsharpened	sharp; penetrative, penetrating; file-like; chisel-like; fang-like; sharp-toothed; edged; drill-like; pointed; carnassial; dagger-like; metal-cutting; knifelike; incisive; sharpened; keen; razor-sharp
sharp; fulgurating; piercing, lancinating, keen, lancinate, knifelike, stabbing, cutting; acute, intense; salt	dull; deadened
eventful; lively	uneventful
lively; warm; peppy, spirited, zippy, bouncing, bouncy; live; bubbly; breezy; scintillating, bubbling, sparkly, effervescent, frothy; alive; rested; animated, alive; alert, watchful; effusive, burbling, burbly, gushing; spirited; energetic	dull; colorless, colourless; spiritless; bovine; unanimated; leaden, heavy; arid, desiccate, desiccated; humdrum, monotonous; drab, dreary; lackluster, lusterless, lustreless, lacklustre
dynamic, dynamical; kinetic, energising, energizing; can-do; high-powered, high-energy, high-voltage, high-power, high-octane; self-propelling, self-propelled; slashing; propellent, propulsive, propellant, propelling; ever-changing, changing; energetic; driving, impulsive; projectile	adynamic, undynamic; backward; stagnant, moribund
